Model,Accuracy,F1-Score,ROC-AUC
LightGBM,0.8175,0.4650708353688324,0.7735624217171517
XGBoost,0.8078333333333333,0.45173561578697097,0.7600978121360004
Random_Forest,0.8138333333333333,0.4606470304200869,0.7577123371107992
KNN,0.7923333333333333,0.42896425297891844,0.7014051282431696
